user_id,post_id,rating
12639,11023,1
2,11171,1
2,4440,1
2414,7727,1
2,11315,1
2,11342,1
2,11357,1
14336,8628,-1
14330,10510,1
2,11426,1
518,11438,1
14415,11412,1
2,11530,1
13666,10541,1
2,11554,1
74,11586,1
2,11567,1
2,11601,1
2,11631,1
2,11558,1
2,10986,1
1912,6668,1
201,4124,1
51,11639,1
2,11402,1
8230,11654,1
2,11491,1
42,9963,1
42,4278,1
413,9331,1
413,2506,1
9447,9837,1
13262,11522,1
2,11759,1
13785,11763,-1
1087,11780,1
2,11687,1
10765,9429,1
10765,4229,1
2,11728,1
10751,11661,1
11101,11581,1
11101,11759,1
13347,10438,1
414,9331,1
12423,7014,1
2,11173,1
2,11184,1
11323,10754,1
2,11316,1
11646,9261,1
5820,10608,1
14415,9556,1
1087,11489,1
10435,11490,1
9373,11369,-1
2,11365,1
2,11519,1
2,11036,1
2,11634,1
2,11652,1
413,10515,1
14,5535,1
2,11681,1
1087,11699,1
2,11522,1
8230,9517,1
9731,6836,1
459,11288,-1
2,11312,1
11954,11315,1
690,10812,1
14330,4229,1
10589,11329,1
2,7767,1
8926,671,1
14369,10650,1
11345,3563,1
9736,10711,1
2,8214,1
1087,11541,1
3815,11400,1
2,11366,1
14167,11546,1
2,11611,1
2,11639,1
13462,10344,1
201,8479,1
1912,5535,1
201,2506,1
2,11648,1
2,11694,1
2,11734,1
11461,11522,1
6674,11763,1
13396,2222,1
2,11765,1
61,11739,1
31,1110,1
2,11784,1
9448,11778,1
1912,11654,1
2,11623,1
2,11559,1
1087,11742,1
12504,11702,1
2,11821,1
12103,11759,1
414,10941,1
414,4672,1
414,4124,1
1087,11087,1
21,4440,1
13465,10730,1
2,11314,1
5820,8298,1
14159,8596,1
2,11437,1
8926,670,1
11646,11359,1
2,11533,1
2,11550,1
12432,11557,1
13347,11573,1
2,11604,1
14466,10790,1
2,11641,1
201,10515,1
14,6668,1
1912,4672,1
2,11678,1
2,11696,1
2,11745,1
42,9331,1
413,1962,1
9447,9429,1
2,11753,1
2,11472,1
2,11552,1
11461,11741,1
13347,1110,1
2,11468,1
12419,11286,1
10765,8855,1
12428,11702,1
10751,11581,1
10967,11533,1
414,8479,1
14130,1642,1
2,11024,1
9731,7817,1
2,11206,1
1062,10711,1
14215,11295,1
12432,10643,1
1087,7161,1
2,9287,1
14399,8995,1
13666,7968,1
2,11525,1
2,11457,1
2,11547,1
2,11606,1
2590,10675,1
201,4278,1
201,3389,1
10528,11648,1
2,11699,1
10278,11702,-1
14287,11522,1
12722,11522,1
2,11619,1
42,4124,1
413,7663,1
9736,11307,1
2,11771,1
8916,10843,1
2,11497,1
14481,11153,1
21,11661,1
13462,11814,1
414,10515,1
414,5535,1
414,3389,1
414,2506,1
2,11115,1
2,11131,1
2,11203,1
14221,10643,1
14179,11295,1
14253,11147,1
172,11019,1
5820,7740,1
12738,10791,1
2,10882,1
2,11117,1
363,10889,1
2,11204,1
10036,10838,1
4653,9554,1
12722,11341,1
172,11074,1
14330,4945,1
14336,374,-1
14384,1208,1
14336,1231,1
14404,9642,1
2,11520,1
10751,11606,1
13605,11168,1
201,5535,1
14,7663,1
2,11534,1
10268,11648,1
149,135,-1
12763,6803,-1
12739,4184,-1
2,11061,1
2,11200,1
2,11234,1
13795,11290,1
172,11120,1
14286,10376,1
14307,10358,1
5820,7047,1
14330,7714,1
14336,916,-1
2,11459,1
10268,11464,1
14436,1423,1
2,11538,1
2,11561,1
11101,11573,1
